2 players, 554854 bytes used
3 players, 630860 bytes used
4 players, 1484256 bytes used
5 players, 5397109 bytes used
6 players, 3665182 bytes used
7 players, 6272730 bytes used
8 players, 11679150 bytes used
9 players, 13433457 bytes used
10 players, 18525240 bytes used
11 players, 26985868 bytes used
12 players, 27772693 bytes used
13 players, 39445476 bytes used
14 players, 36170682 bytes used
15 players, 52747173 bytes used
16 players, 49058420 bytes used
17 players, 66275363 bytes used
18 players, 103827595 bytes used
19 players, 128989816 bytes used
20 players, 126221427 bytes used
