2 players, 731636 bytes used
3 players, 280184 bytes used
4 players, 1534817 bytes used
5 players, 4367000 bytes used
6 players, 4661832 bytes used
7 players, 5211449 bytes used
8 players, 8034181 bytes used
9 players, 25263211 bytes used
10 players, 27547192 bytes used
11 players, 23114174 bytes used
12 players, 46899145 bytes used
13 players, 31170043 bytes used
14 players, 49794628 bytes used
15 players, 72866685 bytes used
16 players, 83804740 bytes used
17 players, 81740022 bytes used
18 players, 95779215 bytes used
19 players, 110056484 bytes used
20 players, 166168154 bytes used
