2 players, 169953 bytes used
3 players, 589402 bytes used
4 players, 918994 bytes used
5 players, 1961520 bytes used
6 players, 3540946 bytes used
7 players, 5659016 bytes used
8 players, 7977062 bytes used
9 players, 9570324 bytes used
10 players, 16664304 bytes used
11 players, 26915128 bytes used
12 players, 23453902 bytes used
13 players, 42600336 bytes used
14 players, 78020980 bytes used
15 players, 57783211 bytes used
16 players, 76930471 bytes used
17 players, 95550105 bytes used
18 players, 71489920 bytes used
19 players, 116186664 bytes used
20 players, 121948371 bytes used
