2 players, 150186 bytes used
3 players, 431128 bytes used
4 players, 1057794 bytes used
5 players, 3509646 bytes used
6 players, 5081266 bytes used
7 players, 5585183 bytes used
8 players, 6784271 bytes used
9 players, 13486902 bytes used
10 players, 18970813 bytes used
11 players, 26720966 bytes used
12 players, 32628300 bytes used
13 players, 36632167 bytes used
14 players, 46306071 bytes used
15 players, 53193752 bytes used
16 players, 71489627 bytes used
17 players, 96131844 bytes used
18 players, 81603010 bytes used
19 players, 83926142 bytes used
20 players, 127823864 bytes used
