filename,num_players,num_messages_sent,turns
real_data/number_of_messages_experiment_1512653644.txt,12,311,28
real_data/number_of_messages_experiment_1512653644.txt,12,212,28
real_data/number_of_messages_experiment_1512653644.txt,12,278,28
real_data/number_of_messages_experiment_1512653644.txt,12,256,28
real_data/number_of_messages_experiment_1512653644.txt,12,289,28
real_data/number_of_messages_experiment_1512653644.txt,13,497,56
real_data/number_of_messages_experiment_1512653644.txt,13,593,56
real_data/number_of_messages_experiment_1512653644.txt,13,569,56
real_data/number_of_messages_experiment_1512653644.txt,13,593,56
real_data/number_of_messages_experiment_1512653644.txt,13,676,56
real_data/number_of_messages_experiment_1512653644.txt,13,545,56
real_data/number_of_messages_experiment_1512653644.txt,13,665,56
real_data/number_of_messages_experiment_1512653644.txt,13,473,56
real_data/number_of_messages_experiment_1512653644.txt,13,569,56
real_data/number_of_messages_experiment_1512653644.txt,13,521,56
real_data/number_of_messages_experiment_1512653644.txt,13,593,56
real_data/number_of_messages_experiment_1512653644.txt,13,521,56
real_data/number_of_messages_experiment_1512653644.txt,13,521,56
real_data/number_of_messages_experiment_1512653644.txt,14,1279,85
real_data/number_of_messages_experiment_1512653644.txt,14,1188,85
real_data/number_of_messages_experiment_1512653644.txt,14,1110,85
real_data/number_of_messages_experiment_1512653644.txt,14,1058,85
real_data/number_of_messages_experiment_1512653644.txt,14,1110,85
real_data/number_of_messages_experiment_1512653644.txt,14,1071,85
real_data/number_of_messages_experiment_1512653644.txt,14,1201,85
real_data/number_of_messages_experiment_1512653644.txt,14,1136,85
real_data/number_of_messages_experiment_1512653644.txt,14,967,85
real_data/number_of_messages_experiment_1512653644.txt,14,1252,85
real_data/number_of_messages_experiment_1512653644.txt,14,1201,85
real_data/number_of_messages_experiment_1512653644.txt,14,941,85
real_data/number_of_messages_experiment_1512653644.txt,14,1110,85
real_data/number_of_messages_experiment_1512653644.txt,14,1058,85
real_data/number_of_messages_experiment_1512653644.txt,15,887,66
