filename,num_players,time_in_ns
real_data/time_per_action_experiment_1512675783.txt,2,1541508010
real_data/time_per_action_experiment_1512675783.txt,2,1553813551
real_data/time_per_action_experiment_1512675783.txt,3,2377085512
real_data/time_per_action_experiment_1512675783.txt,3,2359711028
real_data/time_per_action_experiment_1512675783.txt,3,2357207483
real_data/time_per_action_experiment_1512675783.txt,4,2896349112
real_data/time_per_action_experiment_1512675783.txt,4,2895693218
real_data/time_per_action_experiment_1512675783.txt,4,2799859323
real_data/time_per_action_experiment_1512675783.txt,4,2836927931
real_data/time_per_action_experiment_1512675783.txt,5,3655793063
real_data/time_per_action_experiment_1512675783.txt,5,3095294558
real_data/time_per_action_experiment_1512675783.txt,5,3569691427
real_data/time_per_action_experiment_1512675783.txt,5,2920027985
real_data/time_per_action_experiment_1512675783.txt,5,3526610322
real_data/time_per_action_experiment_1512675783.txt,5,3008959484
real_data/time_per_action_experiment_1512675783.txt,5,3484864614
real_data/time_per_action_experiment_1512675783.txt,5,2985616235
real_data/time_per_action_experiment_1512675783.txt,5,3561977305
real_data/time_per_action_experiment_1512675783.txt,5,2910843607
real_data/time_per_action_experiment_1512675783.txt,6,4135922906
real_data/time_per_action_experiment_1512675783.txt,6,4029276556
real_data/time_per_action_experiment_1512675783.txt,6,4131405690
real_data/time_per_action_experiment_1512675783.txt,6,3951766854
real_data/time_per_action_experiment_1512675783.txt,6,4114997144
real_data/time_per_action_experiment_1512675783.txt,6,3954478995
real_data/time_per_action_experiment_1512675783.txt,6,4160604634
real_data/time_per_action_experiment_1512675783.txt,6,3966664491
real_data/time_per_action_experiment_1512675783.txt,6,4119260844
real_data/time_per_action_experiment_1512675783.txt,6,3997704906
real_data/time_per_action_experiment_1512675783.txt,6,4166434507
real_data/time_per_action_experiment_1512675783.txt,6,3834015241
real_data/time_per_action_experiment_1512675783.txt,7,5404355335
real_data/time_per_action_experiment_1512675783.txt,7,4252961719
real_data/time_per_action_experiment_1512675783.txt,7,5439079267
real_data/time_per_action_experiment_1512675783.txt,7,4196985975
real_data/time_per_action_experiment_1512675783.txt,7,5547653342
real_data/time_per_action_experiment_1512675783.txt,7,4231298017
real_data/time_per_action_experiment_1512675783.txt,7,5494417234
real_data/time_per_action_experiment_1512675783.txt,7,4193417681
real_data/time_per_action_experiment_1512675783.txt,7,5397512349
real_data/time_per_action_experiment_1512675783.txt,7,4187756920
real_data/time_per_action_experiment_1512675783.txt,7,5475894246
real_data/time_per_action_experiment_1512675783.txt,7,4188395020
real_data/time_per_action_experiment_1512675783.txt,7,5576307239
real_data/time_per_action_experiment_1512675783.txt,7,4238817338
real_data/time_per_action_experiment_1512675783.txt,8,5662296214
real_data/time_per_action_experiment_1512675783.txt,8,4850556169
real_data/time_per_action_experiment_1512675783.txt,8,5678786964
real_data/time_per_action_experiment_1512675783.txt,8,4892361305
real_data/time_per_action_experiment_1512675783.txt,8,5741871793
real_data/time_per_action_experiment_1512675783.txt,8,4833659490
real_data/time_per_action_experiment_1512675783.txt,8,5639702134
real_data/time_per_action_experiment_1512675783.txt,8,4749601489
real_data/time_per_action_experiment_1512675783.txt,8,5579418084
