2,2014716.11905
3,3186153.42857
4,4250104.25833
5,3612521.125
6,4776504.36735
7,6152373.81027
8,8930460.90104
9,9979550.68395
10,10855583.0527
11,8256821.71836
12,10172745.3532
13,9168788.4021
14,11116174.114
15,10248950.4573
2,2212297.35135
3,3018712.89744
4,3416018.0625
5,4176803.15556
6,4061444.99603
7,3849192.17316
8,6180924.61058
9,9822977.97949
10,9409700.2
11,9488958.8951
12,7720744.1754
13,9334764.42345
14,11644351.008
15,9193979.09657
2,2229070.66667
3,2973482.30065
4,3562842.98333
5,5096087.20755
6,6224721.41503
7,6286052.15406
8,8000798.84968
9,8426443.08527
10,7952024.9
11,11587848.0403
12,8332641.55876
13,8727598.1074
14,9030424.35862
15,10198719.8618
2,2563279.39286
3,2943793.40741
4,6489479.37143
5,6098947.80968
6,5407953.06989
7,6492217.29954
8,7511762.51067
9,11404918.182
10,10787141.3767
11,9551085.81818
12,7898528.93806
13,7332941.76059
14,11376660.6282
15,10089886.4792
16,10120872.4316
17,11020039.3149
18,11860447.7583
19,9431374.58984
2,2145882.20455
3,4717902.44444
4,4910276.68333
5,5354070.44643
6,5631188.11905
7,6999376.64389
8,4989237.62981
9,7324773.26936
10,7214471.68571
11,8783209.29167
12,8116472.00549
13,10202113.9643
14,9269539.079
15,11132787.269
