filename,bits_used_for_primes,time_spent_to_shuffle_in_ns
real_data/crypto_experiment_1024_bits_1512679293.txt,1024,21660789726
real_data/crypto_experiment_1024_bits_1512679293.txt,1024,20653043451
real_data/crypto_experiment_2048_bits_1512680934.txt,2048,145013693695
real_data/crypto_experiment_2048_bits_1512680934.txt,2048,144266658217
real_data/crypto_experiment_2048_bits_1512680934.txt,2048,148752120115
real_data/crypto_experiment_2048_bits_1512680934.txt,2048,146655355790
real_data/crypto_experiment_2048_bits_1512680934.txt,2048,146579363260
real_data/crypto_experiment_2048_bits_1512680934.txt,2048,144247462083
real_data/crypto_experiment_2048_bits_1512680934.txt,2048,150050797285
real_data/crypto_experiment_2048_bits_1512680934.txt,2048,146176460329
real_data/crypto_experiment_2048_bits_1512680934.txt,2048,147864627181
real_data/crypto_experiment_2048_bits_1512680934.txt,2048,147299183178
real_data/crypto_experiment_2048_bits_1512680934.txt,2048,150952205278
real_data/crypto_experiment_2048_bits_1512680934.txt,2048,147711167865
real_data/crypto_experiment_256_bits_1512678982.txt,256,1778093745
real_data/crypto_experiment_256_bits_1512678982.txt,256,1464511683
real_data/crypto_experiment_256_bits_1512678982.txt,256,1760670290
real_data/crypto_experiment_256_bits_1512678982.txt,256,1407735901
real_data/crypto_experiment_256_bits_1512678982.txt,256,1784783177
real_data/crypto_experiment_256_bits_1512678982.txt,256,1447986690
real_data/crypto_experiment_256_bits_1512678982.txt,256,1791344191
real_data/crypto_experiment_256_bits_1512678982.txt,256,1455907192
real_data/crypto_experiment_256_bits_1512678982.txt,256,1781754231
real_data/crypto_experiment_256_bits_1512678982.txt,256,1473601898
real_data/crypto_experiment_256_bits_1512678982.txt,256,1788244118
real_data/crypto_experiment_256_bits_1512678982.txt,256,1477522058
real_data/crypto_experiment_256_bits_1512678939.txt,256,1789973635
real_data/crypto_experiment_256_bits_1512678939.txt,256,1285136174
real_data/crypto_experiment_256_bits_1512678939.txt,256,1787687761
real_data/crypto_experiment_256_bits_1512678939.txt,256,1376295175
real_data/crypto_experiment_256_bits_1512678939.txt,256,1859065562
real_data/crypto_experiment_256_bits_1512678939.txt,256,1272615259
real_data/crypto_experiment_256_bits_1512678939.txt,256,1879410631
real_data/crypto_experiment_256_bits_1512678939.txt,256,1362752431
real_data/crypto_experiment_256_bits_1512678939.txt,256,1776194680
real_data/crypto_experiment_256_bits_1512678939.txt,256,1390863135
real_data/crypto_experiment_256_bits_1512678939.txt,256,1816380654
real_data/crypto_experiment_256_bits_1512678939.txt,256,1376089267
real_data/crypto_experiment_512_bits_1512678615.txt,512,4435337489
real_data/crypto_experiment_512_bits_1512678615.txt,512,3832046956
real_data/crypto_experiment_512_bits_1512678615.txt,512,4581606152
real_data/crypto_experiment_512_bits_1512678615.txt,512,3791207330
real_data/crypto_experiment_512_bits_1512678615.txt,512,4523823654
real_data/crypto_experiment_512_bits_1512678615.txt,512,3737197010
real_data/crypto_experiment_512_bits_1512678615.txt,512,4478508604
real_data/crypto_experiment_512_bits_1512678615.txt,512,3873009209
real_data/crypto_experiment_512_bits_1512678615.txt,512,4412832788
real_data/crypto_experiment_512_bits_1512678615.txt,512,3647474825
