filename,num_players,time_in_ns
real_data/time_per_action_experiment_1512675783.txt,2,103730719
real_data/time_per_action_experiment_1512675783.txt,2,930338
real_data/time_per_action_experiment_1512675783.txt,2,105227085
real_data/time_per_action_experiment_1512675783.txt,2,896322
real_data/time_per_action_experiment_1512675783.txt,2,103626366
real_data/time_per_action_experiment_1512675783.txt,2,1103482
real_data/time_per_action_experiment_1512675783.txt,2,105094653
real_data/time_per_action_experiment_1512675783.txt,2,878734
real_data/time_per_action_experiment_1512675783.txt,2,103568223
real_data/time_per_action_experiment_1512675783.txt,2,709376
real_data/time_per_action_experiment_1512675783.txt,3,206479432
real_data/time_per_action_experiment_1512675783.txt,3,3643306
real_data/time_per_action_experiment_1512675783.txt,3,206482165
real_data/time_per_action_experiment_1512675783.txt,3,105964404
real_data/time_per_action_experiment_1512675783.txt,3,104017657
real_data/time_per_action_experiment_1512675783.txt,3,107468132
real_data/time_per_action_experiment_1512675783.txt,3,104797437
real_data/time_per_action_experiment_1512675783.txt,3,109621106
real_data/time_per_action_experiment_1512675783.txt,3,103990144
real_data/time_per_action_experiment_1512675783.txt,3,6075651
real_data/time_per_action_experiment_1512675783.txt,3,206256274
real_data/time_per_action_experiment_1512675783.txt,3,4256986
real_data/time_per_action_experiment_1512675783.txt,3,105098475
real_data/time_per_action_experiment_1512675783.txt,3,104011311
real_data/time_per_action_experiment_1512675783.txt,3,104302623
real_data/time_per_action_experiment_1512675783.txt,3,104533998
real_data/time_per_action_experiment_1512675783.txt,3,105501784
real_data/time_per_action_experiment_1512675783.txt,3,105783436
real_data/time_per_action_experiment_1512675783.txt,4,209002450
real_data/time_per_action_experiment_1512675783.txt,4,108310211
real_data/time_per_action_experiment_1512675783.txt,4,209748463
real_data/time_per_action_experiment_1512675783.txt,4,111501588
real_data/time_per_action_experiment_1512675783.txt,4,310369233
real_data/time_per_action_experiment_1512675783.txt,4,214307683
real_data/time_per_action_experiment_1512675783.txt,4,316601819
real_data/time_per_action_experiment_1512675783.txt,4,208818949
real_data/time_per_action_experiment_1512675783.txt,4,107043123
real_data/time_per_action_experiment_1512675783.txt,4,209389783
real_data/time_per_action_experiment_1512675783.txt,4,110006182
real_data/time_per_action_experiment_1512675783.txt,4,207935735
real_data/time_per_action_experiment_1512675783.txt,4,213321078
real_data/time_per_action_experiment_1512675783.txt,4,211999856
real_data/time_per_action_experiment_1512675783.txt,4,106914158
real_data/time_per_action_experiment_1512675783.txt,4,7111379
real_data/time_per_action_experiment_1512675783.txt,4,111156887
real_data/time_per_action_experiment_1512675783.txt,4,10344315
real_data/time_per_action_experiment_1512675783.txt,4,223175882
real_data/time_per_action_experiment_1512675783.txt,4,110451817
real_data/time_per_action_experiment_1512675783.txt,4,213334436
real_data/time_per_action_experiment_1512675783.txt,4,211640373
real_data/time_per_action_experiment_1512675783.txt,4,108181595
real_data/time_per_action_experiment_1512675783.txt,4,106493032
real_data/time_per_action_experiment_1512675783.txt,4,108017650
real_data/time_per_action_experiment_1512675783.txt,4,307116644
real_data/time_per_action_experiment_1512675783.txt,4,214639852
real_data/time_per_action_experiment_1512675783.txt,4,210985758
real_data/time_per_action_experiment_1512675783.txt,5,115198714
real_data/time_per_action_experiment_1512675783.txt,5,109670108
real_data/time_per_action_experiment_1512675783.txt,5,109033361
real_data/time_per_action_experiment_1512675783.txt,5,218560963
real_data/time_per_action_experiment_1512675783.txt,5,109001149
real_data/time_per_action_experiment_1512675783.txt,6,219616739
real_data/time_per_action_experiment_1512675783.txt,6,216378550
real_data/time_per_action_experiment_1512675783.txt,6,319044384
real_data/time_per_action_experiment_1512675783.txt,6,314507534
real_data/time_per_action_experiment_1512675783.txt,6,316499438
real_data/time_per_action_experiment_1512675783.txt,6,215954736
real_data/time_per_action_experiment_1512675783.txt,6,325338457
real_data/time_per_action_experiment_1512675783.txt,6,319693631
real_data/time_per_action_experiment_1512675783.txt,6,312477835
real_data/time_per_action_experiment_1512675783.txt,6,312227810
real_data/time_per_action_experiment_1512675783.txt,6,212563069
real_data/time_per_action_experiment_1512675783.txt,6,216142244
real_data/time_per_action_experiment_1512675783.txt,6,318825907
real_data/time_per_action_experiment_1512675783.txt,6,312065694
real_data/time_per_action_experiment_1512675783.txt,6,312100968
real_data/time_per_action_experiment_1512675783.txt,6,213868167
real_data/time_per_action_experiment_1512675783.txt,6,218838599
real_data/time_per_action_experiment_1512675783.txt,6,220856841
real_data/time_per_action_experiment_1512675783.txt,6,313563369
real_data/time_per_action_experiment_1512675783.txt,6,316573196
real_data/time_per_action_experiment_1512675783.txt,6,111589691
real_data/time_per_action_experiment_1512675783.txt,6,212024506
real_data/time_per_action_experiment_1512675783.txt,6,322298610
real_data/time_per_action_experiment_1512675783.txt,6,212149647
real_data/time_per_action_experiment_1512675783.txt,6,214241736
real_data/time_per_action_experiment_1512675783.txt,6,212922728
real_data/time_per_action_experiment_1512675783.txt,6,219882917
real_data/time_per_action_experiment_1512675783.txt,6,319518584
real_data/time_per_action_experiment_1512675783.txt,6,314997243
real_data/time_per_action_experiment_1512675783.txt,6,313757417
real_data/time_per_action_experiment_1512675783.txt,7,304241920
real_data/time_per_action_experiment_1512675783.txt,7,423250807
real_data/time_per_action_experiment_1512675783.txt,7,421110184
real_data/time_per_action_experiment_1512675783.txt,7,419771260
real_data/time_per_action_experiment_1512675783.txt,7,318744242
real_data/time_per_action_experiment_1512675783.txt,7,317292204
real_data/time_per_action_experiment_1512675783.txt,7,325070929
real_data/time_per_action_experiment_1512675783.txt,7,216010191
real_data/time_per_action_experiment_1512675783.txt,7,216260359
real_data/time_per_action_experiment_1512675783.txt,7,215739401
real_data/time_per_action_experiment_1512675783.txt,7,203360160
real_data/time_per_action_experiment_1512675783.txt,7,321675896
real_data/time_per_action_experiment_1512675783.txt,7,317474978
real_data/time_per_action_experiment_1512675783.txt,7,417926802
real_data/time_per_action_experiment_1512675783.txt,7,318738329
real_data/time_per_action_experiment_1512675783.txt,7,220495567
real_data/time_per_action_experiment_1512675783.txt,7,221381782
real_data/time_per_action_experiment_1512675783.txt,7,114238709
real_data/time_per_action_experiment_1512675783.txt,7,124851316
real_data/time_per_action_experiment_1512675783.txt,7,218126640
real_data/time_per_action_experiment_1512675783.txt,7,301966091
real_data/time_per_action_experiment_1512675783.txt,7,422719434
real_data/time_per_action_experiment_1512675783.txt,7,421523100
real_data/time_per_action_experiment_1512675783.txt,7,522352228
real_data/time_per_action_experiment_1512675783.txt,7,420864121
real_data/time_per_action_experiment_1512675783.txt,7,314967678
real_data/time_per_action_experiment_1512675783.txt,7,218502751
real_data/time_per_action_experiment_1512675783.txt,7,215882710
real_data/time_per_action_experiment_1512675783.txt,7,216893187
real_data/time_per_action_experiment_1512675783.txt,7,219893318
real_data/time_per_action_experiment_1512675783.txt,7,304258558
real_data/time_per_action_experiment_1512675783.txt,7,425739969
real_data/time_per_action_experiment_1512675783.txt,7,423643785
real_data/time_per_action_experiment_1512675783.txt,7,420014012
real_data/time_per_action_experiment_1512675783.txt,7,318972791
real_data/time_per_action_experiment_1512675783.txt,7,224634368
real_data/time_per_action_experiment_1512675783.txt,7,215470460
real_data/time_per_action_experiment_1512675783.txt,7,218800335
real_data/time_per_action_experiment_1512675783.txt,7,216750142
real_data/time_per_action_experiment_1512675783.txt,7,317387784
real_data/time_per_action_experiment_1512675783.txt,7,203367093
real_data/time_per_action_experiment_1512675783.txt,7,421906514
real_data/time_per_action_experiment_1512675783.txt,7,427933256
real_data/time_per_action_experiment_1512675783.txt,7,419192751
real_data/time_per_action_experiment_1512675783.txt,7,429361654
real_data/time_per_action_experiment_1512675783.txt,7,316334612
real_data/time_per_action_experiment_1512675783.txt,7,227112803
real_data/time_per_action_experiment_1512675783.txt,7,216746009
real_data/time_per_action_experiment_1512675783.txt,7,221827497
real_data/time_per_action_experiment_1512675783.txt,7,214886224
real_data/time_per_action_experiment_1512675783.txt,7,303938956
real_data/time_per_action_experiment_1512675783.txt,7,424636913
real_data/time_per_action_experiment_1512675783.txt,7,423193936
real_data/time_per_action_experiment_1512675783.txt,7,522426622
real_data/time_per_action_experiment_1512675783.txt,7,417240565
real_data/time_per_action_experiment_1512675783.txt,7,315665531
real_data/time_per_action_experiment_1512675783.txt,7,323780257
